	N2_mockRNAi_1	N2_mockRNAi_2	N2_rege1RNAi_1	N2_rege1RNAi_2	glp1_mockRNAi_1	glp1_mockRNAi_2	glp1_rege1RNAi_1	glp1_rege1RNAi_2
WBGene00010781	11.02625046	10.82654312	10.90534854	10.82300799	10.89763894	10.92835641	10.66596407	10.85984625
WBGene00010782	5.814907736	5.564620517	4.920825893	4.547331346	4.986912363	5.535511467	5.363284135	4.920959699
WBGene00010783	9.347123678	9.454713295	9.247536888	9.093741821	9.434265022	9.626465288	9.89813016	9.235641354
WBGene00010784	6.668037477	6.157078011	6.571953592	5.972661841	6.643838248	6.6370264	6.313031851	6.759195187
WBGene00019666	10.57496774	10.65632768	10.70099449	10.4884534	10.95459663	10.97424824	10.82524459	10.85748426
WBGene00019667	5.317376462	5.096710225	5.300500813	5.624666484	6.3571716	6.227346192	5.877282644	6.426750572
WBGene00019668	3.883733382	4.399807964	4.180494385	4.138634266	4.345519166	3.577329224	4.025986116	3.915859522
WBGene00019669	3.786102089	3.863409062	3.325741999	3.678849386	4.204207141	3.797533271	4.114963073	4.180595991
WBGene00005640	3.568459649	3.34835794	3.325741999	4.138634266	3.306974015	3.691628499	3.82965727	3.172065523
WBGene00019670	3	3	3	3	3	3	3	3
WBGene00019671	3	3	3	3	3	3	3	3
WBGene00019672	6.964298539	6.804545235	6.798957983	6.841887319	6.749350334	7.148191618	7.025575845	6.972119698
WBGene00023432	8.811877557	8.772578893	9.402448072	9.67164576	9.092138516	9.098844718	9.951955719	9.554221557
WBGene00019673	11.43185608	11.37982318	11.46806421	11.57904248	11.34592301	11.44973409	11.7630587	11.45268173
WBGene00004888	11.69150015	11.96136649	11.97530771	12.02343704	12.30691132	12.28989737	12.48084578	12.25662854
WBGene00019674	6.085010008	6.732267491	6.850536419	6.178166028	6.616208802	6.56387303	6.691314643	6.283959901
WBGene00003400	10.70587204	10.66217517	10.57057731	10.78499565	10.53505552	10.54220255	10.65023437	10.65749174
WBGene00044896	4.427760582	3.750843922	4.180494385	3.880652209	4.411302243	4.378109038	4.736297171	4.404202943
WBGene00045052	5.658173422	6.042195207	6.339011821	5.881496723	6.484877785	6.301224834	6.967026091	6.357121103
WBGene00045053	5.764531485	5.809092683	6.166591629	6.341005091	6.340383178	6.188937953	6.868104383	6.509312328
WBGene00010785	15.44699507	15.34040866	15.34893731	15.36337975	15.11628594	15.18521719	15.03079111	15.10378926
WBGene00003789	13.55831708	13.50698017	13.49924162	13.60432448	13.15866177	13.22566584	12.9996459	13.11453095
WBGene00000659	3.445943361	3.750843922	3.707765223	3.566269616	3.775118483	3.317352977	3.473663856	3.172065523
WBGene00010786	5.658173422	5.564620517	5.60078768	5.567319677	6.122023508	5.957201735	5.877282644	6.409655716
WBGene00010787	10.36278304	10.32639969	10.33513277	10.32722995	10.14090262	10.16201276	10.2097679	10.25264457
WBGene00019675	4.361517449	3.967823512	3.707765223	3.783276423	4.047535517	4.075320463	3.82965727	3.707835725
WBGene00005883	3.164444999	3	3	3.444155505	3	3.453189218	3	3.172065523
WBGene00019676	3.312049054	3.184667984	3.172045082	3	3.161636323	3	3	3
WBGene00005868	3.164444999	3.184667984	3.325741999	3	3.559952221	3.577329224	3.473663856	3.172065523
WBGene00005862	3.164444999	3.184667984	3	3	3	3.453189218	3	3.32577875
WBGene00005867	3	3	3	3	3	3.167385061	3	3
WBGene00005866	3	3	3	3	3	3	3	3
WBGene00005859	3	3	3	3	3	3	3.175740279	3
WBGene00003515	12.25320471	12.64678225	12.37374105	12.6773212	11.96646369	11.85008697	11.99758508	11.88716145
WBGene00006874	10.28785105	10.5821895	9.890713819	9.922348554	10.28385658	10.35757826	9.419406316	9.856612901
WBGene00010788	6.773696725	6.702311067	6.602360692	6.59166383	6.972769124	6.955730545	6.868104383	7.062391956
WBGene00010789	6.329857513	6.242821005	6.936586217	6.197193855	6.89442457	7.107586436	6.691314643	6.690083746
WBGene00010790	10.75910552	10.97955927	12.1153208	13.00037868	10.48246633	10.40965416	12.11582387	11.82202892
WBGene00010791	4.870331863	4.731809492	4.5976365	4.661341425	3.671542928	3.896192664	4.895465829	4.259046081
WBGene00005967	3	3	3.325741999	3.444155505	3.161636323	3.317352977	3.473663856	3.464679968
WBGene00010792	4.361517449	4.065188354	3.915774072	4.357407004	3.871753528	4.308158984	4.424422326	4.404202943
WBGene00000448	6.221986053	6.640464987	6.226384083	6.391441548	6.928523047	6.733583426	6.91841292	6.825146684
WBGene00019677	9.501204406	9.651753094	9.474081933	9.372211597	9.730074345	9.631844279	9.289246771	9.563911987
WBGene00019678	11.13929553	11.25833648	10.95553051	10.88739391	10.93376248	10.88921513	10.64744065	10.9364447
WBGene00019679	10.73150545	10.84807855	10.90382341	10.76839297	11.17655216	11.07969424	11.28735878	11.06279008
WBGene00019680	11.46575317	11.32558745	11.25312558	11.13874857	11.799162	11.65475424	11.90119877	11.83848999
WBGene00019681	3.312049054	3.495353523	3.172045082	3.566269616	4.127997033	3.797533271	3.473663856	3.707835725
WBGene00019682	13.715851	14.08096546	15.05972563	15.08729202	14.20167499	14.20031062	15.27908022	15.10648546
WBGene00000939	13.23159534	13.21457713	13.07812726	13.22587928	13.06532725	13.00714995	12.02582642	12.98220895
WBGene00003709	7.973849222	8.066096968	7.739353987	7.944988625	7.948408575	7.977702958	8.142785922	7.81288144
WBGene00044368	3	3	3	3	3.161636323	3	3	3.172065523
WBGene00019690	5.764531485	6.303941407	5.797585458	6.234512787	5.840939545	5.934165554	5.825492778	5.014387266
WBGene00019691	6.583383267	6.656176832	6.061077517	6.119528796	6.469519183	6.56387303	6.350159641	6.245939268
WBGene00019683	7.491263303	7.589635228	7.477544249	7.500231585	7.087881865	7.34442488	7.619235788	7.177957936
WBGene00001507	6.184158882	6.283854282	5.970732094	6.158883884	6.422437287	6.470892374	6.255484738	5.99401337
WBGene00019684	5.78993948	5.891050279	5.899054976	5.9945806	8.43710021	8.485282517	8.372174883	8.132343924
WBGene00019685	3.568459649	3.495353523	4.097536574	3.163720912	5.767485271	5.761709226	6.195546438	5.716661173
WBGene00019686	9.316853937	9.189126474	8.80326243	9.08355184	9.041103622	9.142208258	9.114150627	9.233214186
WBGene00019687	7.008258867	7.425144191	7.073117927	6.94679632	7.293749388	7.263569747	6.38635587	6.912689534
WBGene00019688	3.445943361	3.34835794	4.097536574	4.057659929	5.690089524	5.267132669	5.825492778	5.716661173
