	N2_mockRNAi_1	N2_mockRNAi_2	N2_rege1RNAi_1	N2_rege1RNAi_2	glp1_mockRNAi_1	glp1_mockRNAi_2	glp1_rege1RNAi_1	glp1_rege1RNAi_2
WBGene00013406	3	3	3	3	3.146839394	3	3	3
WBGene00013407	3.200744779	3.661358331	3.54433698	3.726700989	3.973994676	4.366553285	4.047306292	4.073732044
WBGene00013408	3	3	3	3	3	3	3	3
WBGene00013411	3.675514316	3	3.65346132	3.335643599	3.514566991	3.571146702	3.774933909	4.178051751
WBGene00045144	3	3.15874315	3.156509871	3.335643599	3.146839394	3	3	3.395805922
WBGene00045173	3.804431592	3.431828966	3	3.335643599	3.402093432	3.448137644	3.30688891	3.559263004
WBGene00013412	3	3	3	3	3	3	3	3
WBGene00013413	3	3	3	3	3	3	3	3
WBGene00013415	3.376938259	3.859333042	4.380854054	4.207706244	4.192633488	4.827797054	4.534209933	5.109231492
WBGene00013416	4.760716689	4.260489666	4.022394409	4.689966488	4.050615415	3.979226368	4.345249847	5.211103024
WBGene00013417	3.376938259	3.301737941	3.156509871	3	3	3	3	3
WBGene00022023	3	3	3	3	3	3	3	3
WBGene00022024	3	3	3	3	3	3	3	3
WBGene00013418	3.533936598	3	3	3.726700989	3.146839394	3.684486619	3.671377669	3.21143436
WBGene00013419	4.760716689	4.516533227	4.101565999	3.726700989	3.402093432	3.887511217	4.345249847	4.366469162
WBGene00013420	3.675514316	3.431828966	3.754908845	3.335643599	3.146839394	3.979226368	4.127756154	4.073732044
WBGene00022025	4.133781893	3.431828966	3.65346132	3.726700989	3.716198971	3.887511217	3.559809383	4.073732044
WBGene00022026	3.376938259	3.431828966	3.297690316	4.207706244	3.807346091	3.571146702	3.671377669	3.706070801
WBGene00022027	3.376938259	3.15874315	3	3.478102426	3	3.16533442	3.30688891	3.21143436
WBGene00022028	3	3	3	3	3	3	3	3
WBGene00022029	5.24253783	4.733911367	4.442976613	3.836587268	4.382456935	4.223846317	4.047306292	4.751712826
WBGene00022030	3	3	3	3	3	3.16533442	3.30688891	3.21143436
WBGene00022031	3	3.301737941	3.297690316	3.177560818	3	3	3	3.21143436
WBGene00022032	3	3.15874315	3	3.177560818	3.402093432	3	3	3.395805922
WBGene00022033	3.533936598	3.301737941	3.156509871	3.836587268	3.402093432	3	3.438884535	3.21143436
WBGene00022034	3.200744779	3.431828966	3.426278156	3.335643599	3	3.571146702	3.438884535	4.178051751
WBGene00022035	4.133781893	3.948984728	3.54433698	4.50262681	4.192633488	3.887511217	3.559809383	4.609709533
WBGene00022036	4.481039608	3.551153539	3.754908845	3.478102426	4.192633488	3.571146702	3.774933909	3.395805922
WBGene00022037	4.032129483	3.551153539	3.297690316	4.123488153	4.192633488	4.146824615	4.345249847	4.275334211
WBGene00022038	3.200744779	3	3.426278156	3.607749765	3	3.16533442	3	3
WBGene00022039	3.200744779	3.301737941	3.156509871	3	3.146839394	3.16533442	3	3.21143436
WBGene00022040	3.200744779	3	3.849689043	3.478102426	3.146839394	3	3.161589261	3.706070801
WBGene00002393	3.376938259	3.15874315	3.156509871	3.478102426	3	3	3.30688891	3
WBGene00004235	4.317833773	3.661358331	4.176617942	4.287278042	4.382456935	3.789567328	4.047306292	4.275334211
WBGene00007009	5.372997324	4.629312613	5.567365889	5.004434092	5.214996724	4.876319277	5.364054472	5.670504517
WBGene00022042	3	3	3	3	3	3	3	3
WBGene00001725	3	3	3	3	3	3	3	3
WBGene00022043	3	3.15874315	3	3.177560818	3.402093432	3.16533442	3	3.21143436
WBGene00000434	3	3	3	3	3	3	3	3.395805922
WBGene00013421	3	3	3	3	3	3	3	3
WBGene00013422	3.533936598	3.301737941	3	3	3.402093432	3	3	3.559263004
WBGene00013423	3.922768025	3.301737941	3.297690316	4.034047332	3.146839394	3.448137644	3.559809383	3.21143436
WBGene00013424	3	3	3	3	3	3	3.161589261	3
WBGene00013425	3.376938259	3	3.65346132	3.177560818	3.402093432	3	3.30688891	3.21143436
WBGene00001633	4.317833773	4.456655316	3.297690316	4.207706244	4.92055037	4.615530216	4.80276845	4.533097392
WBGene00013426	3.200744779	3.431828966	3.426278156	3.836587268	3.514566991	4.146824615	4.127756154	3.839309669
WBGene00006552	4.032129483	4.1886897	3.754908845	3.836587268	4.123371269	3.571146702	4.127756154	4.275334211
WBGene00044156	3.376938259	3	3	3	3	3	3	3
WBGene00044157	3	3	3	3	3	3	3	3
WBGene00013427	3	3	3	3	3	3	3	3
WBGene00013436	6.155822116	5.4689101	6.018709766	5.181482124	5.618892582	5.821975437	5.792007915	6.227348985
WBGene00013437	3	3	3	3	3	3	3	3
WBGene00013438	3	3	3	3	3.146839394	3	3	3
WBGene00013439	3	3	3.156509871	3.335643599	3.146839394	3	3.438884535	3.559263004
WBGene00013440	3	3	3	3	3	3.16533442	3.161589261	3
WBGene00013441	5.196291131	3.661358331	4.247957842	4.287278042	4.496412524	4.923262511	4.534209933	4.682457633
WBGene00013442	3.376938259	3.15874315	3.156509871	3	3	3	3	3
WBGene00013443	5.67231094	5.203433051	5.112045293	5.050774346	5.311569696	5.137479889	5.296050354	5.634286372
WBGene00013444	3	3	3	3	3	3	3	3
WBGene00013445	3.200744779	3	3.156509871	3.177560818	3	3.571146702	3.438884535	3
