	N2_mockRNAi_1	N2_mockRNAi_2	N2_rege1RNAi_1	N2_rege1RNAi_2	glp1_mockRNAi_1	glp1_mockRNAi_2	glp1_rege1RNAi_1	glp1_rege1RNAi_2
WBGene00007063	4.88254416	4.574024673	4.442976613	4.80257885	5.075272412	4.557197317	4.203955806	4.751712826
WBGene00007064	7.868691511	7.416501	7.976376166	8.194712476	7.48724614	7.596479932	7.879924629	8.239414516
WBGene00044165	3.922768025	3.661358331	3.297690316	3.478102426	3	3.448137644	3.671377669	3.395805922
WBGene00007065	3	3	3.156509871	3	3	3	3.30688891	3
WBGene00003525	3	3	3.297690316	3.177560818	3.402093432	3	3.161589261	3
WBGene00007067	3.200744779	3.301737941	3.297690316	3.177560818	3.280104283	3.887511217	3.30688891	3.395805922
WBGene00007069	3	3	3	3	3	3	3.438884535	3
WBGene00005532	3	3	3	3	3	3	3	3
WBGene00004964	3	3	3	3	3	3	3	3
WBGene00007070	3	3.15874315	3	3.335643599	3.280104283	3.448137644	3.30688891	3.21143436
WBGene00000024	3	3	3	3	3	3	3	3
WBGene00004098	3	3	3	3	3	3	3	3
WBGene00007071	5.492631795	4.394184202	4.247957842	3.938692934	4.440559578	5.012801033	3.962103937	4.999616359
WBGene00000724	3	3	3	3	3	3	3	3
WBGene00007072	3	3	3.156509871	3	3	3	3	3
WBGene00007073	3.376938259	3.301737941	3.426278156	3.177560818	3.146839394	3.887511217	3.438884535	3.961277016
WBGene00006428	4.032129483	3.301737941	3.54433698	3.335643599	4.258722274	3.979226368	3.559809383	3.839309669
WBGene00004929	7.584414962	7.121040477	7.372189397	7.722914274	7.807335053	8.134249907	7.496359257	7.908924903
WBGene00014997	3	3	3	3.177560818	3.146839394	3	3.774933909	3.21143436
WBGene00043988	3	3	3	3	3	3	3	3
WBGene00043989	3	3	3	3	3	3	3	3
WBGene00043990	3	3	3	3	3	3	3	3
WBGene00007075	3	3	3	3	3	3	3	3
WBGene00007076	3	3	3	3	3	3	3	3
WBGene00007079	3	3	3	3	3	3	3	3
WBGene00007082	3	3	3.156509871	3	3.146839394	3	3.438884535	3.559263004
WBGene00007083	3	3	3	3	3	3	3	3
WBGene00007084	4.032129483	3	3	3.478102426	3.280104283	3.571146702	3.161589261	3.21143436
WBGene00007085	3	3	3	3	3	3	3	3
WBGene00001528	3	3	3	3	3	3	3	3
WBGene00005032	3	3	3	3	3	3	3	3
WBGene00005033	3	3	3	3	3	3	3	3
WBGene00005034	3	3	3	3	3	3	3	3
WBGene00005035	3	3	3	3	3	3	3	3
WBGene00007080	3	3	3	3	3	3	3	3
WBGene00007081	3	3	3	3	3	3	3.161589261	3
WBGene00005027	3	3	3	3	3	3	3	3
WBGene00003231	3	3	3	3	3.146839394	3	3.161589261	3
WBGene00005028	3	3	3	3	3	3	3	3
WBGene00005029	3	3	3	3	3	3	3	3.21143436
WBGene00005030	3	3	3	3	3	3	3	3
WBGene00014998	3.376938259	3	3	3	3.146839394	3	3.559809383	3
WBGene00000797	3	3	3.426278156	3.177560818	3.716198971	3.887511217	3.871552142	3.395805922
WBGene00014999	3.376938259	3.301737941	3.156509871	3.177560818	3	3.571146702	3	3.961277016
WBGene00015000	3.376938259	3	3	3.177560818	3	3.16533442	3.438884535	3.21143436
WBGene00044701	3.533936598	3.301737941	3.297690316	3	3.807346091	3.887511217	3.161589261	4.073732044
WBGene00003010	6.608438297	5.557090579	6.678354993	6.504193203	6.382451008	6.96080078	6.061457188	6.896253535
WBGene00007087	4.317833773	3.763738925	4.022394409	3.478102426	4.050615415	3.887511217	3.438884535	4.366469162
WBGene00007088	3.200744779	3.15874315	3.297690316	3.177560818	3.280104283	3	3	3
WBGene00007089	4.228740898	4.033389744	4.768221331	4.287278042	4.747219462	4.777585913	4.345249847	4.682457633
WBGene00007090	3.376938259	3.431828966	3.297690316	3.177560818	3.514566991	3.571146702	3	3.559263004
WBGene00007091	5.148512723	4.831436438	4.950351706	4.689966488	5.372537542	6.007681311	5.26080719	5.901376519
WBGene00007092	3.804431592	3.431828966	4.101565999	3.335643599	3.716198971	3.448137644	3.671377669	3.706070801
WBGene00007093	3.200744779	3.15874315	3.156509871	3	3	3.313654502	3.30688891	3.395805922
WBGene00000138	3	3.301737941	4.022394409	3.177560818	3.618902645	3.979226368	3.30688891	4.073732044
WBGene00007094	8.409494156	7.408621595	7.803643513	8.11517151	7.988664731	8.207193784	7.626656522	8.58604264
WBGene00000722	3	3	3	3	3	3	3	3
WBGene00007100	3.376938259	3.431828966	3.754908845	3.478102426	3.280104283	3.16533442	3.559809383	3.961277016
WBGene00007101	3	3	3.156509871	3	3	3.16533442	3	3.395805922
WBGene00001646	3	3	3	3	3	3	3	3
WBGene00007102	3	3	3	3	3	3	3.30688891	3
WBGene00007103	5.567209548	4.574024673	4.667738829	5.447045969	5.643838882	5.60878367	4.942775959	5.670504517
WBGene00007104	3	3	3	3	3	3	3.161589261	3
WBGene00000723	3	3	3	3	3	3	3	3
WBGene00007096	3.376938259	3	3	3	3	3	3	3
WBGene00007097	3	3	3	3	3	3	3	3
WBGene00001533	3	3	3.156509871	3.177560818	3.146839394	3.16533442	3	3
WBGene00000491	4.133781893	3.948984728	3.65346132	4.50262681	4.258722274	4.923262511	4.473931904	4.452187592
WBGene00007099	3	3	3	3	3	3	3	3
WBGene00006932	5.196291131	4.516533227	4.614745124	3.938692934	4.258722274	4.968726293	4.127756154	5.351573998
WBGene00000814	6.155822116	5.089768512	5.324972513	5.481287134	5.56766738	5.637220221	5.187627876	5.634286372
WBGene00015001	3.533936598	3.431828966	3	3	3.146839394	3.684486619	3.438884535	3.395805922
WBGene00015002	3.922768025	3.551153539	3.65346132	3.335643599	3.402093432	3.448137644	3.161589261	3.961277016
WBGene00015003	3	3	3	3	3	3	3	3
WBGene00000403	6.517326844	5.666859571	6.514433111	6.895577272	6.847261933	6.794016087	6.748939271	7.013687452
WBGene00015004	3	3	3	3	3	3	3	3
WBGene00015005	4.228740898	3.431828966	4.315935651	3.335643599	3.893075286	3.684486619	3.559809383	3.395805922
WBGene00044394	3	3	3	3	3	3	3	3
WBGene00001919	3	3	3	3	3	3	3	3
WBGene00007110	3.200744779	3.301737941	3.297690316	3.607749765	3	3	3.671377669	3.21143436
WBGene00007111	3.533936598	3.551153539	3.156509871	3.478102426	3	3.448137644	3.438884535	3
WBGene00007112	4.939805331	4.260489666	6.209500088	5.579388877	4.747219462	4.725564028	6.101850242	6.472706202
WBGene00001019	6.293988297	5.308792716	6.154864613	5.547423804	6.209434988	5.963447459	5.428996868	6.251460536
WBGene00007113	3	3	3.297690316	3	3.146839394	3	3	3.21143436
WBGene00007114	4.032129483	3.431828966	3.938624509	3.607749765	3.893075286	4.065457866	3.671377669	4.533097392
WBGene00044290	4.556203609	5.342269438	4.992505548	5.004434092	4.747219462	5.358532394	5.187627876	4.533097392
WBGene00007105	3.200744779	3.431828966	3.849689043	3.177560818	3.514566991	3.313654502	3.671377669	3.559263004
WBGene00001020	3.200744779	3.551153539	3.426278156	3.177560818	3.514566991	3.16533442	3.438884535	3.706070801
WBGene00007106	3.200744779	3	3.156509871	3	3	3	3.30688891	3
WBGene00007107	3	3.301737941	3	3	3.146839394	3.16533442	3	3
WBGene00007108	3.804431592	3.551153539	3.754908845	3.836587268	3.514566991	3.571146702	3.871552142	3
WBGene00007109	3	3	3	3	3	3.16533442	3	3
WBGene00001921	3	3	3	3	3	3	3	3
WBGene00001922	3	3	3	3	3	3	3	3
WBGene00001920	3	3	3	3	3	3	3	3
WBGene00015006	3	3	3	3	3	3	3	3
WBGene00015007	5.975888703	5.49890646	5.1497877	4.80257885	5.934094155	5.579775325	5.460403719	5.519834449
WBGene00015008	3.200744779	3.431828966	3.156509871	3	3.402093432	3.571146702	3.30688891	3.706070801
WBGene00004415	3.200744779	3.15874315	3	3	3	3.16533442	3.161589261	3
WBGene00015009	3.376938259	3.15874315	3.754908845	3.335643599	3.514566991	3.571146702	3.871552142	3
WBGene00015010	3.376938259	3	3.426278156	3	3.893075286	3.887511217	3	3.21143436
WBGene00006961	4.627644746	3.859333042	4.101565999	4.034047332	4.192633488	4.296963599	3.671377669	4.751712826
WBGene00015011	3	3	3	3	3	3	3	3
WBGene00015012	3	3	3	3	3	3.16533442	3	3
WBGene00015013	3	3.15874315	3	3	3	3	3	3
WBGene00015014	3	3	3.156509871	3	3	3	3	3
WBGene00015015	3	3	3	3	3	3	3	3
WBGene00006646	3.200744779	3.431828966	3.156509871	3.177560818	3	3.448137644	3.438884535	3.395805922
WBGene00007115	3.200744779	3	3.426278156	3	3.146839394	3	3.161589261	3.21143436
WBGene00007116	3	3.15874315	3.156509871	3.177560818	3.146839394	3.571146702	3.438884535	3.961277016
WBGene00015024	3	3	3	3	3	3	3	3
WBGene00015025	3	3	3	3	3	3	3	3
WBGene00044413	3	3	3	3	3	3	3	3
WBGene00044644	3.533936598	3.551153539	3.54433698	3.335643599	4.123371269	3.979226368	3.671377669	3.839309669
WBGene00044646	3	3	3	3	3.146839394	3	3	3
WBGene00015017	5.530402515	4.922784263	5.1497877	4.567814026	5.111492478	5.097105738	4.473931904	5.479573102
WBGene00015018	3	3.15874315	3.297690316	3	3.280104283	3.789567328	3.30688891	3.559263004
WBGene00004466	3.533936598	3	3.849689043	3.177560818	3.146839394	3	3.30688891	3.21143436
WBGene00015019	3	3.15874315	3	3	3.402093432	3	3	3
WBGene00015020	3	3	3	3	3	3	3	3
WBGene00015021	5.41398771	4.574024673	5.112045293	4.907033927	4.960814091	4.968726293	5.26080719	5.16106624
WBGene00002191	4.401743307	4.1886897	4.667738829	3.938692934	4.258722274	3.979226368	3.671377669	4.452187592
WBGene00015022	3.200744779	3.301737941	3	3	3.402093432	3.448137644	3	3.706070801
WBGene00015023	3.922768025	3.301737941	4.247957842	3.726700989	3.973994676	4.146824615	3.438884535	3.559263004
WBGene00015026	3	3	3.156509871	3	3	3	3	3
WBGene00015033	3	3	3	3	3	3	3	3
WBGene00015034	3	3	3	3	3	3.16533442	3	3
WBGene00000232	4.556203609	3.431828966	3.54433698	3.607749765	4.258722274	4.296963599	3.559809383	4.682457633
WBGene00015027	3	3	3.156509871	3	3	3.448137644	3.30688891	3.21143436
WBGene00001676	4.032129483	3.301737941	3.938624509	3.836587268	3.618902645	3.684486619	3.671377669	4.275334211
WBGene00000099	3.804431592	3.763738925	3.426278156	3.177560818	3.402093432	3.571146702	3.161589261	3.706070801
WBGene00015028	3.376938259	4.1886897	3.297690316	4.207706244	4.550183513	5.176754851	3.671377669	4.817795216
WBGene00015029	3.533936598	3.15874315	3.754908845	3.478102426	3.973994676	3.16533442	3.962103937	4.366469162
WBGene00015030	3	3	3	3	3.146839394	3	3	3
WBGene00015031	3	3	3	3	3	3	3	3
WBGene00015032	3	3.15874315	3.156509871	3.177560818	3.146839394	3	3.30688891	3
WBGene00015035	3.200744779	3.15874315	3.156509871	3	3.146839394	3.313654502	3	3.559263004
WBGene00015036	3	3	3	3	3	3	3	3
WBGene00015037	3.922768025	3	3.849689043	3.335643599	3.716198971	3.789567328	3.871552142	4.452187592
WBGene00015038	3.922768025	3.763738925	3.754908845	3.607749765	3.716198971	3.789567328	3.774933909	3.961277016
WBGene00003889	5.330808161	3.763738925	4.992505548	3.938692934	4.440559578	4.968726293	5.149597462	4.452187592
WBGene00044111	4.317833773	3.551153539	4.101565999	3.836587268	3.618902645	4.223846317	3.871552142	4.073732044
WBGene00015040	3	3	3	3	3.146839394	3	3	3
WBGene00015041	3.200744779	3	3	3.177560818	3.146839394	3.448137644	3	3
WBGene00015042	3	3	3	3	3	3	3	3
WBGene00015043	3.675514316	3.301737941	3.426278156	3	3.402093432	3.313654502	3.161589261	3.395805922
WBGene00015044	4.627644746	3.859333042	3.54433698	3.335643599	3.146839394	3.571146702	3.871552142	3.559263004
WBGene00015045	3	3	3.156509871	3	3	3	3	3
WBGene00015046	3	3	3	3	3	3	3	3
WBGene00003765	3	3	3	3	3	3.16533442	3	3.21143436
WBGene00003766	3.200744779	3.301737941	3	3	3	3	3	3
WBGene00003767	3	3	3.297690316	3	3.146839394	3.16533442	3	3.21143436
WBGene00003768	3	3	3	3	3	3	3	3
WBGene00003769	3	3.301737941	3	3	3	3	3	3
WBGene00006142	3	3	3	3	3	3	3	3
WBGene00006141	3	3	3	3	3	3	3.161589261	3
WBGene00006274	3	3	3.156509871	3	3	3	3	3
WBGene00015047	3.804431592	3.431828966	3.938624509	3.335643599	3.973994676	4.432940149	3.871552142	4.178051751
WBGene00015048	5.330808161	5.008690982	4.502534237	4.567814026	4.92055037	5.457531753	4.647699018	5.597135522
WBGene00004055	4.627644746	3.551153539	4.176617942	3.938692934	4.258722274	4.432940149	4.047306292	4.682457633
WBGene00015049	3	3	3	3.177560818	3.146839394	3	3.438884535	3
WBGene00015050	5.047929821	4.574024673	6.678354993	7.150898842	5.342375655	5.288545172	7.212628037	7.587632569
WBGene00015051	3	3	3	3	3	3.313654502	3	3.559263004
WBGene00015052	3	3	3.156509871	3	3	3	3.30688891	3
WBGene00015053	3	3	3	3	3	3	3	3.21143436
WBGene00015058	4.228740898	3.661358331	4.101565999	4.567814026	5.99352696	6.050599178	5.330453063	6.227348985
WBGene00044582	3	3	3	3.177560818	3.146839394	3	3	3.21143436
WBGene00015054	3	3	3	3	3	3	3	3
WBGene00015055	3.675514316	3	3.156509871	3.177560818	3	3.313654502	3.559809383	4.178051751
WBGene00006418	3.200744779	3.15874315	3.156509871	3.177560818	3	3.313654502	3.438884535	3.706070801
WBGene00015056	3	3.763738925	3.156509871	3.726700989	3.973994676	3.571146702	3.671377669	3.395805922
WBGene00000717	3	3	3	3	3	3	3.161589261	3
WBGene00000718	3	3	3	3	3	3	3	3
WBGene00000599	3	3	3	3	3	3	3	3
WBGene00015057	7.372010406	6.576949558	5.774831791	6.345951062	6.242475199	5.963447459	5.607933958	6.956165039
WBGene00015059	3	3	3	3	3	3	3	3
WBGene00015061	8.502699109	8.175001117	7.992044903	8.902208317	8.573085971	8.555216529	7.212628037	8.853545459
WBGene00015062	3	3	3	3	3	3	3	3
WBGene00015063	3	3	3	3.177560818	3	3	3	3
WBGene00015064	3.200744779	3.551153539	3	3	3	3	3.161589261	3
WBGene00015065	3	3	3	3	3	3	3	3
WBGene00015066	3	3	3	3	3	3	3	3
WBGene00015067	3	3	3.297690316	3	3	3.16533442	3	3
WBGene00015074	4.556203609	4.033389744	4.315935651	3.478102426	4.440559578	4.827797054	4.203955806	5.055464737
WBGene00015075	3	3	3	3.177560818	3	3	3	3
WBGene00015076	3	3	3	3	3.146839394	3.16533442	3	3
WBGene00015077	3.200744779	3.431828966	3	3	3	3	3	3
WBGene00044537	3	3	3	3	3	3	3	3
WBGene00015068	3	3	3	3	3	3	3	3
WBGene00015069	3	3	3	3	3	3	3	3
WBGene00015070	3	3	3	3	3	3	3	3
WBGene00015071	3	3	3	3	3	3	3	3
WBGene00015072	3	3	3	3	3	3	3	3
WBGene00015073	3.376938259	3	3.297690316	3.177560818	3.280104283	3	3.559809383	3.21143436
WBGene00004359	3.200744779	3.551153539	3.65346132	3.177560818	3.146839394	3.16533442	3.438884535	3.395805922
WBGene00007117	3	3	3	3	3	3	3	3.21143436
WBGene00000907	3	3.15874315	3	3.177560818	3.402093432	3.313654502	3.161589261	3.21143436
WBGene00007118	3	3.15874315	3.156509871	3.607749765	3.146839394	3	3	3
WBGene00015085	4.401743307	4.260489666	5.567365889	5.865239043	4.440559578	4.827797054	5.149597462	5.990030058
WBGene00015086	3	3	3	3	3	3	3	3
WBGene00002048	6.775027217	6.381484164	6.499893642	7.074452761	7.365052981	7.140399252	6.587632713	7.643365111
WBGene00015079	10.38251917	9.621631415	9.418958504	9.584261106	9.549626785	9.543554001	9.571430728	9.464093736
WBGene00015080	3	3	3	3.607749765	3.716198971	3	3.161589261	3.559263004
WBGene00015081	3.922768025	3.551153539	4.815954442	4.567814026	4.050615415	3.887511217	4.534209933	3.839309669
WBGene00015082	3.200744779	3.301737941	4.614745124	5.050774346	3.514566991	3	4.647699018	5.16106624
WBGene00015083	3	3	3.156509871	3	3	3	3	3
WBGene00015084	3	3	3	3	3	3	3	3
WBGene00007127	3	3	3	3	3	3	3	3
WBGene00004413	3.200744779	3	3.156509871	3	3.146839394	3	3.161589261	3
WBGene00007119	3	3.15874315	3.297690316	3	3.146839394	3.313654502	3.438884535	3.21143436
WBGene00007121	6.459763587	6.365291659	6.440224621	6.400649812	6.382451008	6.354505164	5.715975646	6.628119255
WBGene00007122	3.376938259	4.113128386	3.754908845	3.607749765	3.807346091	3.979226368	3.871552142	3.706070801
WBGene00007123	3	3	3	3	3	3	3	3
WBGene00007125	3	3	3	3	3	3	3	3
WBGene00007126	3.200744779	3	3	3	3	3.16533442	3.30688891	3
WBGene00015087	4.401743307	4.260489666	4.442976613	4.747371162	4.550183513	4.557197317	4.473931904	5.705835647
WBGene00000211	3.200744779	3.301737941	3.426278156	3.335643599	3.146839394	3.448137644	3	3.395805922
WBGene00015088	5.41398771	4.574024673	4.718854719	4.567814026	4.700425453	4.923262511	5.110537336	5.39551434
WBGene00000886	3.533936598	3	3	3	3	3	3	3.21143436
WBGene00015089	4.481039608	4.1886897	4.442976613	4.123488153	4.747219462	5.457531753	5.840557445	5.109231492
WBGene00044615	3.376938259	3.15874315	3	3	3.716198971	3	3.161589261	3.395805922
WBGene00015091	5.047929821	3.859333042	4.176617942	3.938692934	4.321915732	4.725564028	4.276331885	4.880982825
WBGene00002583	7.501265215	6.723885198	6.980188644	7.118630941	6.910302266	6.915082543	7.097487001	7.306175648
WBGene00015092	3	3	3	3	3	3	3	3.21143436
WBGene00015093	3	3	3	3	3	3	3	3
WBGene00015094	3	3.301737941	3	3	3.280104283	3	3.161589261	3
WBGene00015095	3.376938259	3	3	3.177560818	3	3	3.30688891	3.21143436
WBGene00015096	3.376938259	3	3	3	3	3.16533442	3	3.559263004
WBGene00006538	3.376938259	3	3.297690316	3.177560818	3	3	3	3
WBGene00007128	3.533936598	3.301737941	3.156509871	3.177560818	3.716198971	3.448137644	3	3.559263004
WBGene00007129	3	3.15874315	3.156509871	3	3.402093432	3	3.161589261	3.395805922
WBGene00007130	3.200744779	3.431828966	3.156509871	3	3.280104283	3.313654502	3.671377669	3.559263004
WBGene00015097	3	3.15874315	3	3.177560818	3.146839394	3	3	3
WBGene00004243	4.760716689	3.859333042	4.614745124	4.362689523	3.893075286	4.065457866	4.592070135	4.275334211
WBGene00015098	3.533936598	3	3.156509871	3.335643599	3	3	3.30688891	3
WBGene00006745	6.67739882	6.298640623	6.45537483	6.720302702	6.724007493	6.516347502	5.864232974	6.751598915
WBGene00015105	3.533936598	3.301737941	3	3.177560818	3.716198971	3.684486619	4.345249847	3.961277016
WBGene00015106	3	3	3	3	3	3	3	3
WBGene00001613	4.032129483	3.661358331	4.442976613	4.034047332	4.123371269	4.223846317	4.203955806	4.178051751
WBGene00015107	3	3.301737941	3.156509871	3.177560818	3	3	3	3.21143436
WBGene00044674	3	3.15874315	3.156509871	3	3	3.16533442	3.161589261	3.21143436
WBGene00015099	6.081437751	4.629312613	5.481169693	5.865239043	6.523543143	6.266223711	6.305809435	7.013687452
WBGene00015100	3.533936598	3	3.938624509	3.177560818	3.146839394	3	3.671377669	3.21143436
WBGene00015101	3	3.15874315	3	3	3	3	3	3.395805922
WBGene00003845	3	3	3	3	3	3	3.161589261	3
WBGene00015102	3.675514316	3.551153539	3.297690316	3.938692934	3.146839394	3.16533442	3	3.559263004
WBGene00015103	3	3	3	3	3	3	3	3
WBGene00003609	6.554464713	5.239414679	6.312930069	5.41197232	6.440553884	6.354505164	5.689714257	6.970762084
WBGene00015104	3.922768025	3.763738925	3.54433698	3.607749765	3.807346091	3.789567328	3.438884535	3.395805922
WBGene00015108	3	3	3.156509871	3.177560818	3.402093432	3	3	3
WBGene00015110	3	3.301737941	3	3	3.146839394	3	3.161589261	3
WBGene00015111	3	3	3	3	3	3	3	3
WBGene00015112	4.032129483	4.1886897	3.65346132	4.123488153	4.192633488	3.313654502	3.30688891	3.395805922
WBGene00015113	3	3	3	3	3	3	3	3
WBGene00015114	3	3	3	3	3	3	3	3
WBGene00007131	3	3	3	3	3	3	3	3
WBGene00007132	3.200744779	3	3	3	3	3	3	3
WBGene00007133	4.994880279	4.574024673	3.849689043	4.855751536	3.973994676	4.146824615	3.871552142	4.682457633
WBGene00007134	3	3	3	3	3	3	3	3
WBGene00007135	6.358406651	5.693044738	5.998166096	5.890940027	6.050607955	6.284317465	6.141143093	6.321467714
WBGene00000513	3	3	3	3	3	3	3	3
WBGene00007136	3.376938259	3	3.156509871	3.177560818	3.146839394	3	3	3.21143436
WBGene00007137	3.533936598	3.15874315	3.297690316	3.478102426	3.146839394	3.16533442	3	3.21143436
WBGene00002003	4.939805331	3.859333042	4.022394409	4.123488153	4.050615415	3.448137644	3.962103937	4.073732044
WBGene00007138	3.200744779	3	3	3	3.146839394	3	3	3
WBGene00007139	7.510744298	6.017060719	7.184924848	5.547423804	6.426246066	6.590933193	6.710271761	6.388234412
WBGene00000511	3.376938259	3.15874315	3.156509871	3	3	3	3	3
WBGene00000512	4.228740898	3	3.65346132	3.335643599	3	3.684486619	3.559809383	3.395805922
WBGene00015115	4.88254416	4.113128386	4.559730357	4.434354191	4.792543263	4.615530216	4.80276845	5.055464737
WBGene00002252	3.533936598	3.763738925	3.297690316	3.335643599	4.192633488	3.684486619	4.276331885	4.533097392
WBGene00015116	4.481039608	4.328885064	4.176617942	4.630182696	4.700425453	4.065457866	4.345249847	4.941518661
WBGene00003825	5.148512723	4.629312613	4.718854719	4.855751536	4.836486432	5.358532394	5.550719215	5.559002657
WBGene00001438	3.376938259	3	3.156509871	3.177560818	3	3.448137644	3.774933909	3
WBGene00023425	3	3	3	3	3	3	3	3.21143436
WBGene00015117	3	3	3	3	3	3	3	3
WBGene00015118	3	3	3	3	3	3	3	3
WBGene00002207	4.556203609	4.033389744	3.849689043	4.434354191	4.258722274	4.223846317	4.345249847	4.999616359
WBGene00015119	3	3	3	3	3	3	3	3
WBGene00015121	3	3	3.156509871	3	3	3	3.161589261	3
WBGene00015122	3.804431592	3.15874315	3.65346132	3.478102426	3.716198971	3.684486619	3.774933909	4.275334211
WBGene00015131	7.046693379	5.557090579	5.998166096	5.447045969	6.482645163	6.716178774	5.887526238	6.552504434
WBGene00015132	3.533936598	3	3	3.478102426	3.280104283	3.448137644	3	3.559263004
WBGene00015133	3.200744779	3	3.156509871	3.726700989	3.280104283	3.571146702	3.671377669	3.395805922
WBGene00044678	3	3	3	3.726700989	3	3	3.161589261	3.21143436
WBGene00015124	3.376938259	3.15874315	3.297690316	3.177560818	3.146839394	3.16533442	3	3
WBGene00015125	3.376938259	3	3.156509871	3	3.402093432	3	3	3
WBGene00015126	3.804431592	3.431828966	3.849689043	3.938692934	3.973994676	3.571146702	3.438884535	4.533097392
WBGene00015128	7.122843854	7.241259562	7.306870941	7.403908401	7.416627112	7.369537082	7.258017391	7.235403873
WBGene00015129	3	3	3	3	3	3	3	3
WBGene00015130	3	3	3	3	3	3	3	3
WBGene00001948	3.675514316	3.763738925	3.54433698	3.177560818	3.514566991	3	3.774933909	3.559263004
WBGene00015134	3	3	3	3	3	3	3	3
WBGene00015135	3.533936598	3	3.156509871	3	3	3.16533442	3	3
WBGene00015136	3	3	3	3	3	3	3	3
WBGene00005058	3	3	3	3	3	3.16533442	3	3
WBGene00005059	3	3.15874315	3	3	3	3.448137644	3.774933909	3.559263004
WBGene00005060	3	3	3	3	3	3	3	3
WBGene00005061	3.922768025	3.15874315	3.426278156	3.177560818	3.280104283	3.16533442	3.30688891	3.395805922
WBGene00005062	3.200744779	3	3.156509871	3	3	3	3	3.21143436
WBGene00015137	3.804431592	3.948984728	3.54433698	3.726700989	3.807346091	3.979226368	4.203955806	4.609709533
WBGene00015138	5.41398771	4.629312613	4.614745124	4.207706244	4.700425453	4.777585913	4.897599811	5.438155846
WBGene00015139	3.533936598	3	3.156509871	3.177560818	3.618902645	3.16533442	3.30688891	3.706070801
WBGene00015141	5.453845566	5.049799228	4.667738829	4.907033927	6.123364175	5.358532394	4.345249847	5.109231492
WBGene00015142	3	3	3	3	3	3	3	3
WBGene00007140	3	3	3	3.478102426	3.146839394	3	3.161589261	3
WBGene00007141	3	3	3	3	3	3.16533442	3	3
WBGene00007148	3.200744779	3	3	3	3.146839394	3.684486619	3.161589261	3.395805922
WBGene00007142	3.922768025	3	3.297690316	3.177560818	3.893075286	4.065457866	3.161589261	3.395805922
WBGene00003868	3	3	3.156509871	3	3.146839394	3	3	3
WBGene00007149	3.200744779	3	3	3	3	3	3.30688891	3
WBGene00006660	10.66951286	12.74952518	12.32024173	12.31245686	12.45361752	12.25226319	12.28716624	10.0751825
WBGene00007143	4.760716689	4.033389744	4.247957842	3.938692934	4.123371269	4.065457866	4.534209933	4.533097392
WBGene00007144	3.376938259	3.301737941	3.156509871	3.177560818	3.402093432	3	3	3.21143436
WBGene00007145	3.804431592	3.301737941	3.54433698	3.335643599	3.514566991	3.448137644	3.438884535	3.839309669
WBGene00007146	3.200744779	3	3.297690316	3	3.618902645	3.448137644	3.30688891	3.21143436
WBGene00005267	3.200744779	3	3	3	3	3	3	3
WBGene00000090	5.148512723	4.831436438	4.768221331	4.689966488	5.075272412	4.777585913	5.029093756	5.351573998
WBGene00006943	4.760716689	3.948984728	4.101565999	4.434354191	4.321915732	4.223846317	4.345249847	5.055464737
WBGene00004435	3.200744779	3	3	3	3	3.571146702	3	3
WBGene00015148	3.533936598	3.763738925	3.297690316	4.034047332	3.893075286	3.887511217	3.559809383	3.961277016
WBGene00015149	3.376938259	3	3.156509871	3	3	3.313654502	3	3.706070801
WBGene00015150	3	3	3	3	3	3	3	3
WBGene00000182	3.376938259	3.301737941	3.156509871	3	3.146839394	3.16533442	3.30688891	3.395805922
WBGene00015143	4.032129483	3.859333042	3.54433698	3.836587268	3.514566991	3.448137644	3	3.21143436
WBGene00004348	4.556203609	4.033389744	3.754908845	3.938692934	4.258722274	4.223846317	4.127756154	4.609709533
WBGene00015145	3.200744779	3	3	3	3	3	3	3.21143436
WBGene00015146	4.481039608	3.859333042	3.938624509	3.478102426	3.402093432	3.313654502	3.438884535	4.366469162
WBGene00015147	3.533936598	3.551153539	3.754908845	4.034047332	3.716198971	3.979226368	3.438884535	4.178051751
WBGene00002982	3	3	3	3	3	3	3	3
WBGene00006359	6.003008694	5.931665945	5.912934766	5.989396364	5.739522018	6.092277104	5.767106408	6.018410606
WBGene00006955	4.760716689	4.328885064	4.380854054	4.630182696	4.92055037	4.065457866	4.276331885	4.366469162
WBGene00015151	3	3	3	3	3	3	3	3
WBGene00015152	3.675514316	3.15874315	3.156509871	3.335643599	3.280104283	3.571146702	3	3
WBGene00001177	7.995635716	7.276321259	7.331713205	8.013545307	7.727900627	7.811368134	7.94797887	8.377282091
WBGene00015153	3	3	3	3	3	3	3	3
WBGene00002061	3	3	3	3	3	3.448137644	3.161589261	3
WBGene00006780	7.671508983	7.80056762	7.647508722	7.947721695	7.959154044	7.948170744	7.826690792	8.152454759
WBGene00015154	3	3	3.156509871	3	3	3	3.161589261	3
WBGene00015155	7.28630068	6.845603776	7.290068555	6.661788463	7.256020633	7.282198956	6.972353323	7.723123861
WBGene00015164	4.695714468	3.859333042	3.849689043	4.287278042	3.514566991	3.684486619	3.871552142	4.533097392
WBGene00015165	3.922768025	3.763738925	3.156509871	3.478102426	3.402093432	3.313654502	3.559809383	4.178051751
WBGene00015156	8.035583991	6.761491001	7.193985498	7.150898842	7.239749476	7.567220601	6.389771752	8.126615014
WBGene00015157	3	3.301737941	3	3.478102426	3	3	3	3
